State,Entry,Final
MI,,https://docs.google.com/spreadsheets/d/17SdZ-I-R7B-R1V1wvOWiobSHjHUBh2yqUN2ksogGTPk/edit#gid=1609250679
MN,,https://docs.google.com/spreadsheets/d/1VabnwGtQtYA0ItVHmRj5XDvISxYYpQ5yRqRj8WEIFUM/edit#gid=533017060
MO,,https://docs.google.com/spreadsheets/d/1-L9SdLpNdJAuZrayZfR32Z-q7HHp0SvOCCFZny3WLLU/edit#gid=0
MS,,https://docs.google.com/spreadsheets/d/1fZva-jL8cx8sFG588Hms04PPpmjsdEwpn2KAnHpWNzU/edit#gid=262395853
NC,,https://docs.google.com/spreadsheets/d/1XZCYOsp0Gjxw9YuQhkJHYgU3_Ssn1E6RioS1eseLwVA/edit#gid=0
ND,,https://docs.google.com/spreadsheets/d/1YEufZtW-XbpT3LRKQa909Vmg4Ejjb2dyyYCcc_tPN1U/edit#gid=1764761535
NJ,https://docs.google.com/spreadsheets/d/1hMUUloAzzyLYGJWENtATpP3KyqqmlShVsBWL5L5GBHw/edit#gid=1050687942,https://docs.google.com/spreadsheets/d/1hMUUloAzzyLYGJWENtATpP3KyqqmlShVsBWL5L5GBHw/edit#gid=0
NM,https://docs.google.com/spreadsheets/d/1H-R9ppYlmbFJSKCGGR9FlzojOUrt9Lj-4nc2nUVNYog/edit#gid=1911954095,https://docs.google.com/spreadsheets/d/1H-R9ppYlmbFJSKCGGR9FlzojOUrt9Lj-4nc2nUVNYog/edit#gid=789010587
NV,,https://docs.google.com/spreadsheets/d/1XLVTsMhRcfOsI4hy5KHhWMhK3xerjgv2zkAHMjYENbU/edit#gid=0
NY,,https://docs.google.com/spreadsheets/d/1kBBS5qD5G2IPgBsOBokHXik0LumsLE6Td2LcmMbrlOY/edit#gid=2023625666
OH,,https://docs.google.com/spreadsheets/d/1Jc1glw3QDD4KKx2IsZRAnG3olMBJCCPJjlItvTYWKuw/edit#gid=0
OK,,https://docs.google.com/spreadsheets/d/1cBm_kXKs5vlIOt7sFJwe3qAu45B1xoahRTB8BCwXxD4/edit#gid=597002417
OR,,https://docs.google.com/spreadsheets/d/1FPEJYphwBx0jMTJ8V5UfhJroHlaRW0CUqhUVJTjgidk/edit#gid=76191343
